tanggal,harga_cabai_merah,harga_cabai_rawit,suhu_rata,kelembaban,curah_hujan,lama_penyinaran,kec_angin,is_libur_nasional,bulan,kuartal,is_weekend,is_awal_bulan,bulan_sin,bulan_cos,minggu_sin,minggu_cos,is_pra_lebaran,is_lebaran,is_pasca_lebaran,is_natal_tahunbaru,is_musim_panen,days_to_lebaran,lag_1,lag_7,lag_14,lag_21,lag_30,rawit_lag_1,rawit_lag_7,rawit_lag_14,rawit_lag_30,rasio_merah_rawit,roll_mean_7,roll_std_7,ema_7,zscore_7,roll_mean_30,roll_std_30,ema_30,zscore_30,ema_crossover_7_30,momentum_7,momentum_3,rasio_tren_7_30,volatilitas_14,lag_hujan_14,lag_hujan_21,roll_hujan_14,roll_hujan_21,roll_hujan_30,roll_hujan_60,hujan_ekstrem_3hari,max_hujan_7,is_hari_hujan,pct_change_1,pct_change_3,pct_change_7,arah_lag1,arah_lag2,arah_lag3,streak_naik_3,prop_naik_7,prop_naik_14,is_pasca_covid,harga_hari_ini,target_h1,target_h3,target_h7,arah_target_h1,arah_target_h3,arah_target_h7,harga_rawit_hari_ini,target_rawit_h1,target_rawit_h3,target_rawit_h7
2025-02-07,62900.0,69650.0,27.9,81.0,7.5,8.0,1.0,0,2,1,0,1,0.8660254037844386,0.5000000000000001,0.6631226582407952,0.7485107481711011,0,0,0,0,0,51,68900.0,72900.0,69400.0,59400.0,47500.0,70250.0,68150.0,56750.0,51750.0,0.9030868628858578,73535.71428571429,2606.996081974321,72681.10388920348,-4.079681729946787,65093.333333333336,8947.131435244328,65554.05726992925,-0.2451437479381333,7127.0466192742315,-4000.0,-7850.0,1.1296965529349798,0.03984542046967936,0.3,16.1,231.8,342.40000000000003,390.6,995.6999999999999,0,7.5,1,-7.080242751180044,-10.228013029315964,-8.133333333333336,-1.0,-1.0,-1.0,0,0.14285714285714285,0.21428571428571427,0,62900.0,0.0,-0.10730552555399957,-0.19512173156091636,0.0,0.0,0.0,69650.0,0.0,-0.02397499504970805,-0.08616333884232559
2025-02-08,62900.0,69650.0,27.2,84.0,51.2,4.9,0.0,0,2,1,1,0,0.8660254037844386,0.5000000000000001,0.6631226582407952,0.7485107481711011,0,0,0,0,0,50,62900.0,72900.0,69400.0,59400.0,51000.0,69650.0,68150.0,56750.0,51900.0,0.9030868628858578,72107.14285714286,4816.761409514792,70235.8279169026,-1.9114799497721449,65606.66666666667,8322.929827863334,65382.827768643496,-0.3252059938799551,4853.000148259111,-10000.0,-13350.0,1.0990825554894246,0.05181046677582325,50.3,67.5,232.70000000000005,326.1,441.80000000000007,985.1,1,51.2,1,-8.70827285921626,-17.508196721311474,-13.717421124828533,-1.0,-1.0,-1.0,0,0.14285714285714285,0.14285714285714285,0,62900.0,0.0,-0.11174012262186526,-0.19512173156091636,0.0,0.0,0.0,69650.0,0.0,-0.10034797383428198,-0.08616333884232559
2025-02-09,62900.0,69650.0,28.2,77.0,0.5,2.0,1.0,0,2,1,1,0,0.8660254037844386,0.5000000000000001,0.6631226582407952,0.7485107481711011,0,0,0,0,0,49,62900.0,72900.0,69400.0,59400.0,51900.0,69650.0,68150.0,56750.0,52500.0,0.9030868628858578,70678.57142857143,5902.884686240076,68401.87093767695,-1.3177576459676577,66003.33333333333,7874.258950719454,65222.64533195682,-0.3941111605233458,3179.2256057201375,-10000.0,-11250.0,1.0708333633943454,0.060970482330775316,82.9,0.0,150.30000000000004,326.6,442.30000000000007,970.6,1,51.2,0,0.0,-15.171948752528664,-13.717421124828533,0.0,-1.0,-1.0,0,0.14285714285714285,0.14285714285714285,0,62900.0,-0.10730552555399957,-0.15720249669862268,-0.19512173156091636,0.0,0.0,0.0,69650.0,-0.02397499504970805,-0.09401883878263449,-0.08616333884232559
2025-02-10,56500.0,68000.0,28.8,73.0,0.0,8.0,1.0,0,2,1,0,0,0.8660254037844386,0.5000000000000001,0.7485107481711011,0.6631226582407953,0,0,0,0,0,48,62900.0,76750.0,69400.0,72900.0,51900.0,69650.0,70000.0,56750.0,52500.0,0.8308823529411765,69250.0,6459.489143887426,67026.40320325771,-1.9738403016042696,66370.0,7438.965445312178,65072.79724602412,-1.3267973984482644,1953.605957233587,-13850.0,-6000.0,1.0433930992918488,0.06844030818891696,82.9,0.0,67.40000000000003,326.6,442.30000000000007,937.9,1,51.2,0,0.0,-8.70827285921626,-13.717421124828533,0.0,0.0,-1.0,0,0.14285714285714285,0.14285714285714285,0,56500.0,-0.004434597067865753,-0.08492184798055227,-0.13733127053429733,0.0,0.0,0.0,68000.0,-0.07637297878457397,-0.0899568872193866,-0.09398752548555629
2025-02-11,56250.0,63000.0,27.9,70.0,0.0,7.4,1.0,0,2,1,0,0,0.8660254037844386,0.5000000000000001,0.7485107481711011,0.6631226582407953,0,0,0,0,0,47,56500.0,76250.0,69400.0,73250.0,51900.0,68000.0,69650.0,56750.0,52500.0,0.8928571428571429,66357.14285714286,7048.429409652596,64394.80240244328,-1.433956739821656,66523.33333333333,7173.078660607401,64519.713552732246,-1.4322069810466964,-124.91115028896456,-19750.0,-6400.0,0.9975017716662253,0.08778982811073874,5.1,3.2,62.30000000000003,323.40000000000003,441.30000000000007,863.8000000000001,0,51.2,0,-10.174880763116057,-10.174880763116057,-26.384364820846905,-1.0,0.0,0.0,0,0.0,0.14285714285714285,0,56250.0,-0.04546237407675729,-0.08338160893905101,-0.1431008436406733,0.0,0.0,0.0,63000.0,0.00632913505164753,0.014184634991956381,-0.06559728248581323
2025-02-12,53750.0,63400.0,28.5,72.0,0.0,8.0,1.0,0,2,1,0,0,0.8660254037844386,0.5000000000000001,0.7485107481711011,0.6631226582407953,0,0,0,0,0,46,56250.0,74150.0,69400.0,71250.0,53500.0,63000.0,69500.0,56750.0,48500.0,0.8477917981072555,63500.0,6393.0300588477485,62358.60180183246,-1.5250984134653116,66668.33333333333,6906.287531754036,63986.183646104364,-1.8705177382085725,-1627.5818442719028,-17900.0,-6650.0,0.9524761880952977,0.10300038960465283,0.0,39.6,62.30000000000003,283.8,440.80000000000007,851.2,0,51.2,0,-0.4424778761061954,-10.572337042925273,-26.22950819672131,-1.0,-1.0,0.0,0,0.0,0.14285714285714285,0,53750.0,-0.03502487683592919,-0.037919234862293726,-0.16115187528624186,0.0,0.0,0.0,63400.0,-0.01991304348646011,0.007855499940308833,-0.06769808142793972
2025-02-13,51900.0,62150.0,29.1,75.0,0.0,8.0,1.0,0,2,1,0,0,0.8660254037844386,0.5000000000000001,0.7485107481711011,0.6631226582407953,0,0,0,0,0,45,53750.0,68900.0,75000.0,67650.0,55900.0,63400.0,70250.0,67750.0,48750.0,0.835076427996782,60585.71428571428,5282.259166754168,60206.451351374344,-1.6443180865423193,66676.66666666667,6889.981899447162,63325.78470119441,-2.1446597222310375,-3119.3333498200664,-15150.0,-9150.0,0.9086494168731832,0.11995092397175583,0.0,0.0,62.30000000000003,283.8,438.6,849.2,0,51.2,0,-4.444444444444439,-14.546899841017492,-27.511800404585294,-1.0,-1.0,-1.0,0,0.0,0.14285714285714285,0,51900.0,-0.002894358026364526,-0.002894358026364526,-0.12067739368274799,0.0,0.0,0.0,62150.0,0.027768543426769043,0.027768543426769043,-0.10598643779566669
2025-02-14,51750.0,63900.0,28.6,73.0,0.0,8.0,1.0,0,2,1,0,0,0.8660254037844386,0.5000000000000001,0.7485107481711011,0.6631226582407953,0,0,0,0,0,44,51900.0,62900.0,72900.0,69400.0,59900.0,62150.0,69650.0,68150.0,49750.0,0.8098591549295775,58157.142857142855,4698.264623899575,58129.83851353076,-1.3637254114075994,66543.33333333333,7139.891978963075,62588.63730111736,-2.071926771007121,-4458.798787586595,-11000.0,-4600.0,0.8739739947474257,0.13326224761170655,0.0,0.3,62.30000000000003,283.5,433.70000000000005,847.7,0,51.2,0,-3.4418604651162754,-8.141592920353979,-24.673439767779392,-1.0,-1.0,-1.0,0,0.0,0.07142857142857142,0,51750.0,0.0,-0.04951506452738056,-0.11236296818704429,0.0,0.0,0.0,63900.0,0.0,-0.03179918169293871,-0.17483789230678162
2025-02-15,51750.0,63900.0,28.1,74.0,0.0,1.7,1.0,0,2,1,1,0,0.8660254037844386,0.5000000000000001,0.7485107481711011,0.6631226582407953,0,0,0,0,0,43,51750.0,62900.0,72900.0,69400.0,59900.0,63900.0,69650.0,68150.0,52150.0,0.8098591549295775,56564.28571428572,4712.369740525863,56534.87888514807,-1.0216273296369707,66271.66666666667,7544.942166699987,61889.37037846463,-1.9246889301205767,-5354.491493316556,-11150.0,-4500.0,0.8535214000093411,0.14414270207345994,0.0,50.3,62.30000000000003,233.20000000000002,410.20000000000005,847.7,0,0.5,0,-0.28901734104046506,-7.9999999999999964,-17.726550079491254,-1.0,-1.0,-1.0,0,0.0,0.07142857142857142,0,51750.0,0.0,-0.05971923470162231,-0.11236296818704429,0.0,0.0,0.0,63900.0,0.0,-0.07978191747776966,-0.17483789230678162
2025-02-16,51750.0,63900.0,28.5,76.0,0.0,6.8,1.0,0,2,1,1,0,0.8660254037844386,0.5000000000000001,0.7485107481711011,0.6631226582407953,0,0,0,0,0,42,51750.0,62900.0,72900.0,69400.0,59400.0,63900.0,69650.0,68150.0,52650.0,0.8098591549295775,54971.42857142857,4052.042400943295,55338.659163861055,-0.795013539510517,66000.0,7919.693916063605,61235.21745082175,-1.79931196218058,-5896.558286960695,-11150.0,-2000.0,0.8329004329004329,0.1510737038348031,0.0,82.9,62.30000000000003,150.3,394.1,845.4,0,0.0,0,0.0,-3.7209302325581395,-17.726550079491254,0.0,-1.0,-1.0,0,0.0,0.07142857142857142,0,51750.0,-0.04951506452738056,-0.12323264042394809,-0.11236296818704429,0.0,0.0,0.0,63900.0,-0.03179918169293871,-0.0755535813682486,-0.17483789230678162
